product_type,sku,price,availability,number_of_products_sold,revenue_generated,customer_demographics,stock_levels,order_lead_time,order_quantities,shipping_times,shipping_carriers,shipping_costs,supplier_name,location,supplier_lead_time,production_volumes,manufacturing_lead_time,manufacturing_costs,inspection_results,defect_rates,transportation_modes,routes,total_supply_chain_costs,cost_per_unit_sold,carrier_route_combo,total_lead_time,norm_lead_time,norm_defect_rate,supplier_risk_score,stock_to_sales_ratio,working_capital_at_risk,shipping_costs_outlier,defect_rates_outlier,total_lead_time_outlier,cost_per_unit_sold_outlier,stock_to_sales_ratio_outlier,total_supply_chain_costs_outlier
haircare,SKU0,69.80800554211577,55,802,8661.996792392383,Non-binary,58,7,96,4,Carrier B,2.956572139430807,Supplier 3,Mumbai,29,215,29,46.27987924050832,Pending,0.2264103608499251,Road,Route B,187.75207545920392,0.003686498926971081,Carrier B — Route B,11,0.20588235294117646,0.04223078037724362,0.1241,0.0723,3.35,False,False,False,False,False,False
skincare,SKU1,14.84352327508434,95,736,7460.900065445849,Female,53,30,37,2,Carrier A,9.71657477143131,Supplier 3,Mumbai,23,517,30,33.61676895373,Pending,4.854068026388706,Road,Route B,503.0655791496692,0.013201867895966453,Carrier A — Route B,32,0.8235294117647058,0.9826877949687679,0.9031,0.072,2.42,False,False,False,False,False,False
haircare,SKU2,11.319683293090566,34,8,9577.74962586873,Unknown,1,10,88,2,Carrier B,8.054479261732155,Supplier 1,Mumbai,12,971,27,30.688019348284204,Pending,4.580592619199229,Air,Route C,141.92028177151906,1.0068099077165193,Carrier B — Route C,12,0.23529411764705882,0.9271106793742261,0.5812,0.125,3.84,False,False,False,True,False,False
skincare,SKU3,61.163343016437736,68,83,7766.836425685233,Non-binary,23,13,59,6,Carrier C,1.7295685635434288,Supplier 5,Kolkata,24,937,18,35.62474139712503,Fail,4.74664862064775,Rail,Route A,254.77615921928663,0.02083817546437866,Carrier C — Route A,19,0.4411764705882353,0.9608574563971327,0.701,0.2771,9.87,False,False,False,False,False,False
skincare,SKU4,4.805496036345893,26,871,2686.505151567447,Non-binary,5,3,56,8,Carrier A,3.890547915870672,Supplier 1,Delhi,5,414,3,92.06516059871284,Fail,3.145579522833002,Air,Route A,923.4406317119222,0.00446675994933487,Carrier A — Route A,11,0.20588235294117646,0.6354797442343433,0.4207,0.0057,0.52,False,False,False,False,False,False
haircare,SKU5,1.6999760138659377,87,147,2828.348745975759,Non-binary,90,27,66,3,Carrier B,4.444098864382293,Supplier 4,Bangalore,10,104,17,56.7664755574318,Fail,2.7791935115711617,Road,Route A,235.4612367355375,0.030231965063825125,Carrier B — Route A,30,0.7647058823529411,0.5610208453176513,0.6629,0.6122,34.75,False,False,False,False,True,False
skincare,SKU6,4.078332863107945,48,65,7823.476559531737,Male,11,15,58,8,Carrier C,3.880763302952003,Supplier 3,Kolkata,14,314,24,1.0850685695870688,Pending,1.0009106193041355,Sea,Route A,134.36909686103172,0.0597040508146462,Carrier C — Route A,23,0.5588235294117647,0.19962881054925455,0.3792,0.1692,0.18,False,False,False,True,False,False
cosmetics,SKU7,42.95838438246007,59,426,8496.103813089838,Female,93,17,11,1,Carrier B,2.3483387844177805,Supplier 4,Bangalore,22,564,1,99.46610860359912,Fail,0.3981771868506506,Road,Route C,802.0563118175586,0.005512532357788217,Carrier B — Route C,18,0.4117647058823529,0.07713814130617627,0.2445,0.2183,21.71,False,False,False,False,False,False
cosmetics,SKU8,68.71759674852733,78,150,7517.363210631127,Female,5,10,15,7,Carrier C,3.4047338570830266,Supplier 4,Mumbai,13,769,8,11.423027139565695,Pending,2.709862691109961,Sea,Route B,505.55713422546415,0.022698225713886844,Carrier C — Route B,17,0.38235294117647056,0.5469310700700843,0.4646,0.0333,0.38,False,False,False,False,False,False
skincare,SKU9,64.01573294127854,35,980,4971.145987585558,Unknown,14,27,83,1,Carrier A,7.166645291048216,Supplier 2,Chennai,29,963,23,47.95760163495158,Pending,3.844614478767585,Rail,Route B,995.9294614986416,0.007312903358212465,Carrier A — Route B,28,0.7058823529411765,0.777541317338372,0.7417,0.0143,0.69,False,False,False,False,False,False
